Date,Length(Feet),Intangible Dry Well ($),Intangible Completion ($),Tangible Dry Well ($),Tangible Completion ($)
"Tuesday, October 09, 2012",4500,1248750,2710500,160150,454775
"Tuesday, November 13, 2012",5000,4407024,4662200,1192976,329525
"Tuesday, November 13, 2012",5000,4478394,4796700,1121606,329525
"Tuesday, November 13, 2012",4600,1302500,2197000,277000,185200
"Thursday, November 29, 2012",4600,2730000,2969125,449000,1324500
"Tuesday, December 11, 2012",4500,3349000,2928500,460000,909000
"Monday, January 07, 2013",11500,1176050,2634050,157200,441250
"Tuesday, January 22, 2013",9900,4404697,5064200,1045303,254300
"Tuesday, January 22, 2013",11900,1179450,3032450,157200,446725
"Thursday, January 31, 2013",10230,4304697,5339050,995303,252400
"Monday, April 01, 2013",10230,4304697,5319050,995303,252400
"Monday, May 06, 2013",11900,1169000,2697000,157200,446725
"Monday, May 13, 2013",11450,1241100,2747100,137580,394467
"Monday, May 13, 2013",11900,1169000,2697000,157200,446725
"Friday, August 30, 2013",4700,1819000,2459000,184100,380600
"Friday, September 13, 2013",4844.21,1819000,2439000,182300,379400
"Monday, September 30, 2013",5200,1819000,2459000,184100,380600
"Thursday, October 03, 2013",5000,2426500,5403904,931500,652326
"Friday, October 04, 2013",10230,4083214,6205200,4775000,6411700
"Tuesday, October 15, 2013",3944.44,1628500,2787000,294681.25,185760
"Tuesday, November 05, 2013",4829.93,1628500,2787000,294973,185700
"Tuesday, November 19, 2013",10230,4128804,4736000,671196,206500
"Tuesday, November 19, 2013",10230,4128804,4749200,671196,206500
"Monday, December 23, 2013",4829.93,1657500,2787000,294544,185700
"Friday, January 03, 2014",10230,3881404,6309500,686595,222000
"Monday, January 06, 2014",10230,4083214,6205200,691788,206500
"Wednesday, January 08, 2014",10230,3703102,4749200,598898,206500
"Wednesday, January 15, 2014",10230,4027789,6205200,672211,206500
"Monday, January 20, 2014",3944.44,1628500,2787000,1922720,2972700
"Friday, February 21, 2014",4452,2690000,3103000,502000,778000
"Monday, March 10, 2014",10230,4027789,6205200,672211,206500
"Monday, March 24, 2014",4452,2690000,3103000,502000,778000
"Wednesday, April 02, 2014",5000,3855439,6289624,4382219,6480662
"Thursday, April 03, 2014",5000,2245350,2867700,364525,364300
"Wednesday, May 14, 2014",5000,2245350,364525,2867700,364300
"Friday, May 23, 2014",5200,3835982,7164623,536862,568215
"Sunday, June 15, 2014",5000,1720896,2018924,205468,569114
"Monday, June 23, 2014",10230,4027789,6205200,672211,206500
"Thursday, July 03, 2014",5176.47,3764847,7141624,546346,574000
"Tuesday, July 08, 2014",4400,3547809,7141624,540278,568953
"Thursday, July 24, 2014",5000,1720896,2018924,205468,569114
"Monday, July 28, 2014",4870,3119000,3944000,494000,737000
"Friday, August 08, 2014",5300,4100385,5907394,458553,449010
"Monday, August 18, 2014",4400,3335000,4187000,484000,720000
"Monday, August 18, 2014",10230,3726832,4749200,673168,206500
"Thursday, August 21, 2014",4829.93,1657500,2787000,294643.75,185700
"Wednesday, September 03, 2014",5176.47,3855439,6312624,526780,574038
"Tuesday, September 16, 2014",5176.47,1628500,3089310.25,2787000,185700
"Wednesday, September 17, 2014",4870,3119000,3944000,494000,737000
"Monday, October 06, 2014",8000,3726832,6268200,673168,192500
"Tuesday, October 14, 2014",2631.58,2211190,3401190,514800,1036400
"Tuesday, October 14, 2014",5600,3726832,4536000,673168,206500
"Tuesday, October 21, 2014",10000,3748002,5632000,651998,453000
"Tuesday, October 21, 2014",4452,2690000,3103000,502000,778000
"Wednesday, October 22, 2014",5000,1266167,2018924,204506,574282
"Thursday, October 23, 2014",4095.24,3162819,7164624,533708,567534
"Friday, October 24, 2014",4400,3302353,7164624,537769,568412
"Monday, October 27, 2014",4500,4052000,3824000,486000,725000
"Monday, October 27, 2014",9813,5324000,6188500,521000,930000
"Monday, October 27, 2014",9813,5324000,6188500,521000,930000
"Tuesday, October 28, 2014",9813,5324000,6188500,521000,930000
"Monday, November 10, 2014",10230,3743304,6070500,656696,202000
"Monday, November 17, 2014",4452,2690000,3103000,502000,778000
"Tuesday, November 18, 2014",4308.5,3412073,6440724,469918,435084
"Wednesday, November 19, 2014",2631.58,2210090,3400090,504900,1026500
"Friday, November 21, 2014",5300,3133396,3721280,373368,497842
"Tuesday, November 25, 2014",9828,5128000,6178500,535000,904000
"Tuesday, November 25, 2014",9828,5128000,6178500,535000,904000
"Monday, December 01, 2014",4550,3726832,6268200,673168,192500
"Tuesday, December 09, 2014",3736.84,1643500,3147000,308931.25,185700
"Monday, December 22, 2014",10000,4032300,6640500,667700,202000
"Tuesday, December 30, 2014",9828,5128000,6178500,535000,904000
"Monday, January 05, 2015",10000,3893304,6360000,656696,202000
"Monday, January 05, 2015",5000,1951450,290525,2823800,414900
"Tuesday, January 06, 2015",4789.47,2733815,3696280,379668,499026
"Tuesday, January 06, 2015",10000,3538200,6246500,661800,444000
"Monday, January 12, 2015",5000,2245350,2467700,364525,364300
"Friday, January 23, 2015",10000,2586009,5137200,586512,192500
"Thursday, January 29, 2015",9730,3323000,5768000,458000,951420
"Thursday, January 29, 2015",9730,3323000,5768000,458000,951400
"Friday, February 06, 2015",10230,3893304,6017500,656696,202000
"Friday, February 06, 2015",10000,3893304,6360000,656696,202000
"Wednesday, February 11, 2015",10000,3726832,7232015,673168,313000
"Tuesday, February 17, 2015",4789.47,2034466,2438200,465534,207500
"Monday, March 09, 2015",10323,3956000,4772400,406000,868000
"Monday, March 09, 2015",10083,5262000,6178500,521000,937000
"Monday, March 09, 2015",7243,4842000,5530500,545000,898000
"Thursday, March 19, 2015",7243,4842000,5530500,545000,898000
"Thursday, March 19, 2015",10083,5262000,6178500,521000,937000
"Thursday, March 19, 2015",7243,4842000,5530500,545000,898000
"Tuesday, March 24, 2015",5200,5097648,6289624,542309,569392
"Saturday, March 28, 2015",10083,5262000,6178500,521000,937000
"Wednesday, April 01, 2015",4623,4141000,3008500,544000,823000
"Wednesday, April 01, 2015",5000,2485064,2681096,669459,388800
"Monday, April 06, 2015",5000,2128450,2183800,290525,414900
"Monday, April 06, 2015",4623,4141000,3008500,544000,823000
"Tuesday, April 07, 2015",5534.27,2790877,6130261,509675,437026
"Friday, April 10, 2015",10230,2429356,4690000,610644,226000
"Monday, April 13, 2015",5576.11,4124366,6440724,926354,441261
"Tuesday, April 14, 2015",10230,2423143,4821000,605600,297500
"Tuesday, April 14, 2015",5900,3133396,3696280,373368,497842
"Thursday, April 23, 2015",4300,2749080,4238500,945814,232000
"Friday, May 01, 2015",8500,4168574,6440724,958214,443600
"Tuesday, May 05, 2015",5300,2320543,3250800,435059,386800
"Friday, May 15, 2015",10323,3592000,4772400,406000,755000
"Tuesday, May 19, 2015",5000,3412073,6465724,469918,434600
"Sunday, May 24, 2015",9883,5439000,5404500,495000,1015800
"Tuesday, May 26, 2015",4800,3481290,3973914,686949,159500
"Tuesday, May 26, 2015",10000,4032300,6640500,667700,202000
"Monday, June 01, 2015",5000,2462999,5311000,627000,300000
"Tuesday, June 02, 2015",8700,2810848,3343638,463905,458600
"Tuesday, June 16, 2015",7200,2586009,5137200,586512,192500
"Tuesday, June 16, 2015",5200,2218735,3230800,400177,387900
"Tuesday, June 16, 2015",9823,3737000,5664000,413000,797000
"Friday, June 19, 2015",9823,3635000,5150800,405000,797000
"Friday, June 26, 2015",5300,2191287,3250800,406004,387364
"Monday, June 29, 2015",10000,2778610,4319000,1021390,297500
"Monday, June 29, 2015",9883,5439000,5404500,495000,1015800
"Monday, June 29, 2015",9883,5439000,5404500,495000,1015800
"Monday, June 29, 2015",9883,5439000,5404500,495000,1015800
"Monday, July 06, 2015",5000,2245350,364525,2467700,364300
"Friday, July 10, 2015",10000,2504683,5368548,614054,323000
"Monday, July 20, 2015",4553,3097000,2934400,434000,754000
"Monday, July 27, 2015",7500,2168450,2542800,290525,414900
"Tuesday, July 28, 2015",6000,2320643,3250830,435039,386900
"Saturday, August 01, 2015",9833,3635000,5207800,404000,833000
"Thursday, August 06, 2015",5200,3280310,4641353,799853,409011
"Thursday, August 06, 2015",10000,2504683,5367865,614054,323000
"Friday, August 07, 2015",4400,2413796,2494000,802967,285000
"Tuesday, August 11, 2015",8000,2423143,4869500,605600,297500
"Friday, August 14, 2015",6000,2649000,4805000,601000,300000
"Friday, August 14, 2015",4543,2699000,3498800,406000,633000
"Friday, August 14, 2015",6000,2849000,4811000,601000,300000
"Friday, August 14, 2015",10323,3592000,6783600,406000,780000
"Monday, August 17, 2015",5000,1951450,2061800,290525,414900
"Monday, August 17, 2015",5000,2218735,3230800,400177,97464
"Monday, August 17, 2015",4800,1951450,2061800,290525,414900
"Tuesday, August 18, 2015",5300,2426000,3908200,614000,222500
"Wednesday, August 19, 2015",9833,3635000,5207800,404000,833000
"Monday, August 24, 2015",9700,3144000,5690000,442000,966500
"Monday, August 24, 2015",9700,3144000,5690000,442000,966500
"Monday, August 31, 2015",8400,2870000,4847000,650000,223000
"Tuesday, September 01, 2015",8500,2429356,4870000,610644,297500
"Thursday, September 03, 2015",5000,1894315,2944610,199966,679196
"Monday, September 14, 2015",4700,2799000,4847200,601000,222500
"Tuesday, September 15, 2015",8200,2849000,4806000,601000,300000
"Tuesday, September 15, 2015",6200,2549000,4811000,601000,300000
"Tuesday, September 15, 2015",8000,3280310,4541353,799853,409011
"Tuesday, September 15, 2015",7200,2721560,2967221,704180,386900
"Tuesday, September 22, 2015",5900,2549000,4811000,601000,300000
"Tuesday, September 22, 2015",7800,2329589,2784374,410580,394900
"Tuesday, September 22, 2015",7900,2799000,4834000,601000,222500
"Thursday, September 24, 2015",5700,2843875,5111000,726125,300000
"Tuesday, September 29, 2015",7300,3758433,7164623,536193,568071
"Tuesday, September 29, 2015",9833,3715000,6225250,420000,735000
"Tuesday, September 29, 2015",7243,3375000,4941188,405000,752000
"Tuesday, September 29, 2015",7600,2276219,2905580,398574,382900
"Wednesday, September 30, 2015",6800,2844400,5311000,776600,300000
"Tuesday, October 06, 2015",5000,2128450,290525,2183800,414900
"Tuesday, October 06, 2015",7900,2969719,4562698,517737,401000
"Monday, October 12, 2015",5000,1951450,290525,2061800,414900
"Tuesday, October 13, 2015",7800,2334149,2886874,416238,385900
"Tuesday, October 13, 2015",7800,2330682,2886874,411937,385900
"Tuesday, October 13, 2015",4603,2859000,3380750,419000,662000
"Tuesday, October 13, 2015",6400,2814904,3845800,666488,796550
"Wednesday, October 14, 2015",6200,2844400,5311000,776600,300000
"Tuesday, October 20, 2015",9823,3635000,5151000,408000,795000
"Tuesday, October 20, 2015",15113,4827000,4941188,405000,962000
"Tuesday, October 20, 2015",6300,2799000,4847200,601000,222500
"Saturday, October 24, 2015",9600,3963000,4758000,443000,962700
"Saturday, October 24, 2015",9600,3963000,4758000,443000,962700
"Tuesday, October 27, 2015",5200,2778610,4313000,1021390,297500
"Monday, November 02, 2015",10000,3893304,6360000,656696,202000
"Tuesday, November 03, 2015",9823,3635000,5150800,408000,795000
"Monday, November 09, 2015",4380,2784000,2728200,474000,860600
"Monday, November 16, 2015",6900,2415000,3408000,369000,323000
"Friday, November 20, 2015",7000,2549000,4811000,601000,300000
"Monday, November 30, 2015",5000,1951450,290525,2061800,414900
"Tuesday, December 01, 2015",4400,1894315,29446110,199966,679157
"Monday, December 07, 2015",6400,2814904,3845800,674888,796550
"Tuesday, December 08, 2015",9833,3718000,5957000,424000,820000
"Wednesday, December 09, 2015",7000,2431490.49,4434963.77,588111.29,232129.99
"Tuesday, December 15, 2015",9730,3862000,5587500,456000,973200
"Tuesday, December 15, 2015",4400,2716566.51,5904639.31,630613.21,219939.33
"Saturday, December 19, 2015",7400,1017811,1574235,166851,296900
"Saturday, December 19, 2015",9800,3217500,4801622.26,854500,767134.88
"Tuesday, December 22, 2015",7000,2549000,4811000,601000,300000
"Tuesday, December 22, 2015",7800,1309258,1990576,185474,284484
"Thursday, December 31, 2015",9730,3399000,5307900,384000,1035800
"Monday, January 11, 2016",5100,1532091,592300,443415,779000
"Wednesday, January 13, 2016",7200,2276000,3872000,614000,300000
"Wednesday, January 13, 2016",7100,2276000,3862000,614000,300000
"Monday, February 01, 2016",5800,1532091,590000,443415,779000
"Thursday, February 04, 2016",4800,1309258,1990276,185474,284484
"Monday, February 08, 2016",7000,1886833.4,4811000,540201.46,300000
"Monday, May 16, 2016",9971,6022000,6061000,455000,901000
"Sunday, June 19, 2016",10200,4074000,5415300,351000,828500
"Friday, July 08, 2016",9600,2426500,4803272,931500,775421.75
"Tuesday, July 26, 2016",8200,1217366,1705500,292634,196000
"Friday, August 05, 2016",10000,3217500,4713612,854500,336695
"Monday, August 08, 2016",8900,1683500,2553000,416500,200500
"Monday, August 08, 2016",10400,1665250,3114500,452500,626000
"Tuesday, August 09, 2016",6800,1956000,4784123,460000,784635
"Wednesday, August 10, 2016",7300,1184138,456340,287400,724440
"Friday, August 12, 2016",9730,3862000,5587500,456000,973200
"Monday, August 15, 2016",9730,3862000,5587500,456000,973200
"Monday, August 15, 2016",9800,3752928,2434049,704200,314730
"Monday, August 15, 2016",9730,3862000,5587500,456000,973200
"Tuesday, August 16, 2016",10800,2845280,5236719,560386,107690
"Tuesday, August 16, 2016",8900,3881171,4521724,628200,982220
"Tuesday, August 16, 2016",8900,4149000,4866960,365000,792000
"Monday, August 22, 2016",10200,3881171,4521724,628200,354020
"Monday, August 22, 2016",7200,1275200,1872700,246100,236700
"Monday, August 22, 2016",7000,1263760,530740,287800,749940
"Wednesday, August 24, 2016",8900,1182687.47,752300,289400,720940
"Monday, August 29, 2016",10400,3761405,3540378,523963,107690
"Tuesday, August 30, 2016",7600,2879095,3710409,587769,117140
"Monday, September 05, 2016",5800,2175419,3861417,498128,211690
"Tuesday, September 06, 2016",10000,3217500,4801622,854500,767134
"Wednesday, September 07, 2016",5700,1176245,1513055,222000,470650
"Wednesday, September 07, 2016",7600,1483330,1519200,207600,498174
"Monday, September 12, 2016",10560,3857171,4504189,609200,341200
"Tuesday, September 13, 2016",9600,2475500,4191415,862500,846974
"Tuesday, September 13, 2016",8700,2426500,4801622.26,931500,767134.88
"Monday, October 03, 2016",6400,1570078,3121200,317482,103914
"Tuesday, October 04, 2016",6400,1425000,1613000,194700,194500
"Monday, October 10, 2016",8700,2600000,3048761,900000,706754.88
"Tuesday, October 11, 2016",5600,1376422,2321450,141953,262378
"Tuesday, October 11, 2016",5600,1373835,2317450,145035,265878
"Monday, October 17, 2016",9710,2690000,5044000,357000,857000
"Tuesday, October 18, 2016",8700,3217500,4801622.26,854500,767134.88
"Tuesday, October 18, 2016",7200,1017811,1574235,186851,296900
"Monday, October 24, 2016",4800,1017918,1574235,186851,296900
"Tuesday, October 25, 2016",8700,2426500,4801622.26,931500,767134.88
"Tuesday, October 25, 2016",5600,1373835,2317450,145035,265878
"Tuesday, October 25, 2016",10230,4208861,5860690,628226,105000
"Tuesday, October 25, 2016",6970,1760000,3826677,45000,846217
"Friday, October 28, 2016",8700,3217500,4801622,854500,767134.88
"Friday, October 28, 2016",7400,3217500,4801622,4072000,5568757
"Tuesday, November 01, 2016",6970,1760000,3826677,45000,830006
"Friday, November 04, 2016",6900,1256245,1513055,222000,470650
"Friday, November 04, 2016",8200,1256245,1513055,222000,470650
"Monday, November 07, 2016",9700,3217500,4801622.26,854500,767134.88
"Monday, November 07, 2016",8700,3753378,4895332,656287,117140
"Monday, November 07, 2016",7800,2036083,5417000,444000,423500
"Monday, November 07, 2016",9200,2154087,3295000,290390,123000
"Monday, November 07, 2016",7400,3217500,4801022,854500,767134
"Tuesday, November 08, 2016",7400,2630650,5811760,640115,106500
"Tuesday, November 08, 2016",4750,2580000,2725000,615000,405000
"Tuesday, November 08, 2016",7200,2600000,3048761,900000,706754
"Tuesday, November 08, 2016",12000,3036907,2434049,544200,342396
"Tuesday, November 08, 2016",7800,1688500,3048761,364500,706754
"Wednesday, November 09, 2016",7400,2036083,5418000,444000,424000
"Monday, November 14, 2016",7400,1592243,5417000,607900,424000
"Tuesday, November 15, 2016",8700,2544510,3201408,616796,123000
"Monday, November 21, 2016",9670,3560000,5247679,357000,827598
"Monday, November 21, 2016",9800,3218000,4950000,712000,400000
"Tuesday, November 22, 2016",7200,2423847,2939450,316140,93000
"Monday, November 28, 2016",11000,2768850,3451875,416250,723200
"Tuesday, November 29, 2016",8700,2426500,4801622.26,931500,767134.88
"Thursday, December 01, 2016",8200,1425000,1613000,194700,194500
"Monday, December 05, 2016",6800,950300,1115600,294800,261500
"Tuesday, December 06, 2016",8700,1017811,1574235,186851,483751
"Monday, December 12, 2016",7400,3487000,2180500,451690,334100
"Tuesday, December 13, 2016",4550,2560000,2730000,620000,360000
"Tuesday, December 13, 2016",7900,2518000,2710000,592000,390000
"Tuesday, December 13, 2016",4550,2560000,2730000,620000,360000
"Monday, December 19, 2016",9800,2600000,3048761,900000,706754
"Monday, December 19, 2016",4550,2559000,2720000,582000,390000
"Tuesday, December 20, 2016",6800,1343500,2777000,334500,408500
"Wednesday, December 28, 2016",4340,3557000,3066089,500000,723399
"Friday, December 30, 2016",14000,3313075,4585789,929200,332274
"Tuesday, January 03, 2017",8900,2475500,4191415.26,862500,846974.88
"Tuesday, January 03, 2017",10200,2426500,5403904,931500,652325.79
"Tuesday, January 03, 2017",8900,1830000,3048761.26,800000,706754.88
"Saturday, January 07, 2017",8300,1830000,3048761,800000,706754
"Monday, January 09, 2017",10151,5840000,5859500,481000,947200
"Tuesday, January 10, 2017",9200,3217500,5403904,854600,652325.79
"Tuesday, January 10, 2017",8200,2602500,3122000,897500,110000
"Tuesday, January 10, 2017",10500,3217500,5403904,854500,652325.79
"Wednesday, January 11, 2017",9440,3217500,4801622,854500,767134
"Monday, January 23, 2017",8300,3217500,4801622,854500,767134
"Tuesday, January 31, 2017",10300,2193867,3196408,573975,114990
"Tuesday, January 31, 2017",9800,1739850,3738525,133000,762500
"Tuesday, January 31, 2017",8700,1739850,3738525,133000,762500
"Tuesday, January 31, 2017",9800,2193867,3196408,573795,114990
"Monday, February 13, 2017",8800,1017811,1574235,186851,296900
"Tuesday, February 14, 2017",8200,1668500,3048761,364500,706754
"Friday, February 17, 2017",7000,1462945,2044205,209400,505800
"Monday, February 20, 2017",7900,111845,2329593,145035,276378
"Tuesday, February 21, 2017",5000,2317900,2814500,448300,477800
"Tuesday, February 21, 2017",8300,2036083,5418000,444000,423500
"Tuesday, February 21, 2017",9440,3342000,5938217,322000,736133
"Thursday, February 23, 2017",10560,1511900,3350994,276500,227750
"Tuesday, February 28, 2017",8400,2475500,4479000,862500,81000
"Tuesday, February 28, 2017",8600,1017811,1574235,186851,296990
"Monday, March 06, 2017",8600,1256245,1513055,222000,470550
"Tuesday, March 07, 2017",9200,2600000,3048761,900000,706754
"Tuesday, March 07, 2017",6970,1760000,3826677,45000,846217
"Tuesday, March 07, 2017",8300,1549736,1387450,141953,391840
"Tuesday, March 07, 2017",9800,2102980,3036572,573795,3036572
"Tuesday, March 07, 2017",8400,2097000,2442000,264000,562500
"Tuesday, March 21, 2017",9800,3217500,4801622,854500,767134.88
"Friday, March 24, 2017",8600,2449062,5107000,861500,238500
"Monday, April 03, 2017",8600,1017811,1574235,186851,296900
"Friday, April 14, 2017",9800,2434483,6278075,657951,106550
"Tuesday, April 18, 2017",9800,1778431,3048761,636569,706754
"Tuesday, April 25, 2017",8000,1111845,2329593,145035,276378
"Tuesday, April 25, 2017",10300,2543000,4896000,321000,583500
"Monday, May 01, 2017",8200,1100926,1718027,159600,296782
"Thursday, May 04, 2017",8600,1017811,1574235,186851,296900
"Tuesday, May 09, 2017",8600,1017467,1353340,204400,635665
"Monday, May 22, 2017",10230,1986349,3337000,444000,467000
"Tuesday, May 23, 2017",13600,4256000,4814960,800000,302000
"Tuesday, June 13, 2017",10600,2193867,3196408,573795,114990
"Thursday, July 06, 2017",9600,2448140,6250730,599305,95850
